KO_ID,Gene,u_halleri
K00382,,747
K00671,,3
K04308,,0
K04673,,0
K04962,,70
K05080,,78
K05849,,108
K06482,,5
K06497,,214
K07767,,43
K10518,,5
K11651,,212
K11729,,1
K03544,,144
K04537,,3
K06753,,88
K07521,,1
K09527,,3
K09563,,4
K13855,,405
K14397,,4
K01303,,0
K01510,,0
K01513,,74
K05546,,3
K07466,,1
K08638,,2
K09105,,2
K10843,,85
K11339,,6
K11648,,112
K11850,,60
K11973,,170
K13871,,0
K01444,,1
K04645,,9
K08733,,95
K09486,,7
K10176,,0
K10427,,133
K10532,,1
K10685,,3
K12836,,14
K13783,,70
K14685,,1
K15307,,1
K00681,,74
K01008,,43
K01697,,88
K01840,,2
K02576,,69
K03348,,1
K03424,,108
K06110,,3
K08045,,0
K08291,,293
K09570,,198
K11432,,102
K11703,,208
K13096,,91
K13289,,86
K00413,,2
K02737,,84
K03691,,0
K04244,,0
K04380,,1
K04434,,0
K04460,,4
K04490,,0
K04675,,87
K07529,,1
K08516,,1
K08675,,74
K12497,,0
K13089,,83
K14692,,1
K14842,,400
K14995,,0
K15425,,3
K01847,,793
K04532,,2
K08007,,91
K08636,,0
K08796,,0
K09554,,10
K09605,,24
K10062,,201
K10088,,6
K10646,,3
K11654,,196
K11789,,47
K12891,,65
K13171,,2
K00121,,249
K01047,,2
K02140,,13
K03908,,64
K05619,,12
K05705,,54
K09856,,1
K12872,,1
K14318,,1
K15157,,3
K02377,,12
K02726,,5
K03035,,3
K03061,,298
K03685,,208
K03952,,1
K04419,,4
K04927,,0
K05056,,0
K06592,,0
K07610,,394
K08831,,49
K09510,,72
K10449,,114
K12186,,0
K12193,,4
K12305,,0
K12469,,0
K13358,,1
K14381,,6
K05105,,95
K05157,,5
K06276,,198
K07376,,0
K07904,,9
K09260,,0
K09407,,1
K09508,,0
K10134,,2
K11124,,3
K11982,,1
K12864,,89
K00905,,116
K01338,,417
K03662,,51
K05723,,0
K08091,,1
K10426,,83
K10485,,0
K11348,,97
K11805,,24
K13211,,27
K15710,,82
K01369,,106
K01969,,44
K03443,,63
K04829,,0
K04910,,1
K05288,,0
K05610,,1
K07905,,86
K08486,,100
K08960,,37
K10612,,106
K10755,,2
K11323,,0
K11412,,1
K12409,,78
K13181,,3
K13338,,0
K14015,,2
K01108,,4
K01242,,2
K02539,,2
K02564,,0
K03039,,276
K04977,,0
K06722,,1
K10389,,5
K11321,,96
K14317,,2
K00643,,875
K00693,,0
K04454,,0
K05093,,0
K05096,,0
K06274,,3
K06772,,0
K06845,,0
K10430,,102
K10495,,1
K12158,,0
K13999,,1
K15335,,89
K15701,,0
K00721,,1
K00744,,0
K00981,,128
K03462,,79
K04281,,0
K04727,,3
K04874,,0
K05053,,0
K09098,,0
K09409,,2
K10295,,57
K12602,,0
K13504,,1
K14207,,2
K14391,,0
K14539,,2
K15361,,0
K15779,,96
K00868,,0
K02264,,6
K02270,,2
K03350,,116
K04426,,112
K06063,,180
K07430,,125
K12259,,1
K13022,,0
K14769,,2
K14772,,2
K15184,,99
K15287,,0
K00542,,0
K00914,,0
K03037,,5
K03935,,103
K04639,,0
K07871,,0
K09292,,0
K09525,,1
K09559,,1
K10322,,0
K11219,,239
K12183,,3
K12190,,110
K12399,,40
K12563,,0
K12581,,91
K12866,,1
K13963,,7
K14838,,103
K00515,,0
K01137,,153
K04414,,0
K05098,,0
K05931,,1
K07511,,0
K08550,,0
K08735,,3
K08824,,0
K09531,,1
K10086,,1
K10345,,0
K10419,,4
K11844,,2
K11855,,38
K12184,,2
K12897,,3
K13099,,1
K15305,,2
K00844,,101
K01866,,323
K04441,,87
K04698,,80
K05116,,0
K05547,,2
K05605,,2
K05729,,9
K05751,,102
K06754,,0
K06846,,2
K09093,,100
K11800,,2
K12311,,104
K12843,,2
K13190,,100
K13238,,0
K14407,,111
K15188,,1
K15759,,0
K05015,,1
K08404,,0
K10260,,0
K10461,,1
K11599,,127
K13189,,1
K13724,,313
K14442,,90
K15026,,0
K01931,,0
K02516,,3
K02923,,263
K08288,,50
K08729,,74
K10501,,1
K11518,,1
K13137,,37
K13937,,1
K14816,,4
K14824,,7
K14972,,118
K15010,,4
K15423,,1
K01823,,51
K02084,,0
K02977,,159
K03036,,120
K05728,,1
K07209,,92
K10599,,2
K11976,,14
K13101,,0
K13103,,21
K13377,,1
K14996,,2
K15369,,2
K00383,,126
K00602,,132
K02210,,3
K02732,,107
K04799,,0
K06081,,199
K08498,,2
K10885,,1
K11304,,164
K12819,,6
K13499,,2
K14962,,60
K15194,,49
K02148,,0
K04576,,0
K04657,,1
K05175,,0
K06096,,84
K06571,,65
K07365,,50
K07832,,1
K07902,,0
K10250,,0
K10482,,83
K11540,,8
K12167,,0
K12400,,0
K12476,,3
K12483,,105
K12591,,3
K14611,,2
K15014,,106
K00294,,103
K01469,,2
K01890,,321
K02267,,108
K04427,,1
K04469,,53
K05742,,2
K09044,,2
K09403,,1
K12169,,0
K12958,,53
K14156,,1
K14281,,0
K14433,,0
K15837,,1
K00166,,56
K01254,,0
K01889,,12
K02208,,12
K02266,,6
K07199,,1
K08334,,1
K09657,,0
K12947,,0
K13514,,110
K13755,,1
K13806,,166
K00418,,5
K00649,,1
K01021,,5
K02090,,91
K02137,,24
K02842,,0
K02924,,100
K04270,,0
K04365,,0
K07759,,98
K08370,,2
K09478,,1
K10050,,8
K12885,,15
K13194,,0
K15156,,2
K03033,,0
K03127,,0
K03349,,6
K04421,,0
K05113,,2
K06787,,1
K07941,,3
K08105,,1
K08285,,0
K09606,,80
K10576,,105
K11485,,0
K11862,,4
K12481,,1
K13526,,0
K14286,,272
K15498,,98
K04499,,3
K04716,,0
K05291,,0
K06793,,4
K08337,,0
K08820,,176
K09030,,0
K10087,,0
K10807,,4
K11655,,2
K13523,,7
K14402,,0
K15175,,68
K15375,,0
K00771,,109
K01195,,1
K02738,,6
K04539,,1
K04718,,3
K05222,,0
K08343,,28
K11204,,2
K11827,,3
K13153,,107
K14462,,192
K14569,,50
K14799,,147
K15706,,0
K01551,,2
K01867,,103
K02263,,220
K03627,,3
K03729,,5
K04381,,2
K07298,,1
K09099,,0
K10205,,0
K11089,,9
K11828,,1
K13140,,3
K13174,,106
K13254,,3
K14026,,176
K15122,,20
K15198,,1
K00249,,5
K00257,,79
K00416,,1
K00510,,103
K01698,,98
K02186,,0
K02330,,1
K02358,,120
K03649,,2
K03940,,3
K04529,,0
K05747,,1
K07827,,1
K07890,,91
K08623,,0
K09608,,2
K10993,,0
K12485,,1
K13092,,2
K14300,,3
K14327,,1
K14861,,1
K15168,,2
K15378,,99
K15595,,8
K03240,,57
K03927,,0
K08764,,350
K09220,,194
K10776,,2
K11974,,0
K12275,,4
K13193,,6
K13509,,1
K15042,,1
K15617,,77
K01102,,57
K02355,,243
K03661,,1
K05122,,0
K06802,,0
K07968,,0
K09049,,3
K13240,,0
K14429,,0
K14801,,1
K14948,,6
K15048,,4
K15272,,1
K03515,,0
K04359,,1
K04875,,0
K05688,,1
K06559,,117
K06944,,0
K08272,,3
K08601,,1
K08753,,104
K08766,,1
K09054,,1
K09193,,2
K09479,,153
K10310,,0
K10470,,1
K11224,,1
K12179,,93
K12236,,109
K12475,,1
K12580,,2
K13139,,10
K14454,,4
K15013,,132
K00036,,129
K01896,,0
K04831,,0
K07410,,0
K07739,,1
K07835,,8
K08019,,0
K08898,,0
K11169,,0
K11578,,0
K11829,,0
K12185,,3
K14575,,1
K01319,,0
K02212,,1
K06013,,125
K07620,,0
K08964,,1
K10203,,0
K10258,,6
K10860,,105
K12826,,43
K13182,,188
K14328,,101
K15374,,69
K00033,,2
K00411,,45
K00911,,0
K02725,,3
K02927,,101
K04505,,4
K06047,,0
K09507,,0
K09602,,8
K10728,,2
K11426,,1
K12494,,2
K12571,,1
K13100,,39
K13627,,89
K13676,,73
K15183,,118
K03953,,2
K04491,,1
K04850,,0
K05101,,0
K05420,,0
K07750,,0
K09115,,0
K10082,,98
K10692,,0
K11858,,105
K12177,,3
K12847,,8
K13105,,2
K13516,,106
K15105,,1
K15200,,0
K00802,,0
K01435,,0
K01634,,4
K01899,,3
K02268,,105
K03964,,6
K04577,,95
K05693,,1
K06478,,672
K06773,,0
K08183,,2
K08495,,1
K08788,,1
K09027,,6
K09192,,0
K11154,,0
K12406,,0
K13365,,3
K00235,,2
K01092,,208
K01597,,1
K01966,,348
K02583,,1
K04443,,3
K05003,,0
K05121,,0
K07894,,2
K08707,,3
K09035,,1
K10270,,0
K10900,,0
K11318,,111
K12867,,3
K13250,,5
K13510,,4
K14311,,1
K14961,,1
K15502,,0
K00111,,242
K00444,,1
K01189,,0
K03644,,213
K04372,,89
K04684,,2
K05120,,0
K05410,,106
K05674,,0
K08879,,3
K12164,,2
K12463,,84
K13191,,52
K13645,,16
K14292,,1
K14546,,3
K15075,,77
K00002,,5
K00600,,411
K01835,,102
K02975,,606
K05726,,115
K08628,,0
K13342,,192
K13780,,0
K14000,,11
K00993,,0
K07766,,3
K07836,,1
K10686,,112
K10846,,114
K11291,,3
K11425,,8
K11809,,0
K11986,,0
K12023,,1
K12600,,135
K12663,,2
K15297,,0
K15865,,70
K00488,,0
K01054,,0
K01175,,92
K01262,,114
K01373,,70
K01389,,188
K03237,,151
K04366,,3
K04635,,2
K06234,,0
K08631,,68
K10443,,1
K10488,,0
K12617,,7
K13157,,0
K14408,,1
K14650,,1
K15304,,2
K00027,,358
K00109,,93
K00725,,0
K01371,,1
K01968,,83
K02729,,221
K03131,,3
K03522,,124
K04420,,0
K04430,,477
K04501,,99
K06158,,220
K06965,,0
K07372,,8
K07524,,1
K07967,,71
K08053,,0
K08579,,1
K08872,,226
K09520,,2
K09611,,2
K09654,,0
K10143,,1
K10456,,2
K11451,,0
K11674,,68
K12307,,29
K12816,,0
K12862,,92
K15306,,72
K00884,,162
K01507,,77
K01886,,339
K03982,,48
K04540,,0
K06250,,0
K06531,,0
K06692,,1
K08106,,120
K09518,,2
K10844,,0
K12171,,295
K12180,,196
K12470,,1
K12562,,20
K12865,,2
K13625,,11
K13711,,2
K14025,,4
K14050,,1
K14415,,266
K15151,,91
K15262,,2
K15684,,0
K02857,,0
K05940,,2
K05954,,0
K06091,,0
K10712,,1
K12375,,81
K12569,,0
K14298,,1
K14312,,2
K00417,,5
K00719,,90
K03264,,1
K03872,,98
K05181,,0
K05687,,115
K06088,,0
K08515,,115
K09317,,0
K09431,,0
K10287,,1
K10573,,89
K10601,,92
K11463,,1
K11519,,1
K12178,,9
K12824,,101
K14571,,3
K00972,,115
K01217,,109
K02176,,0
K03687,,4
K04344,,2
K04432,,0
K06053,,104
K06475,,0
K06883,,7
K07887,,91
K08211,,1
K08785,,0
K09355,,11
K10263,,0
K10300,,96
K10387,,56
K11090,,8
K11308,,0
K11350,,104
K12197,,1
K12310,,0
K14536,,0
K15100,,3
K00012,,170
K00222,,0
K00477,,175
K00819,,106
K01481,,0
K01679,,65
K02151,,5
K02161,,0
K03128,,2
K04468,,0
K06051,,0
K06638,,0
K07601,,0
K08627,,0
K09557,,3
K09574,,0
K10177,,1
K10510,,0
K10706,,2
K12813,,1
K13148,,75
K13883,,66
K14213,,1
K14345,,0
K14709,,0
K15190,,243
K00236,,207
K03943,,6
K03950,,6
K07882,,0
K08231,,1
K08527,,8
K08543,,1
K09594,,0
K10492,,0
K10756,,3
K12232,,1
K12613,,2
K13146,,3
K13989,,0
K00816,,24
K03011,,80
K03238,,27
K04463,,107
K04557,,0
K07861,,26
K10577,,91
K12353,,113
K13288,,4
K14558,,128
K14788,,11
K14808,,93
K15700,,2
K01227,,0
K01359,,0
K01555,,0
K01756,,241
K02871,,4
K03419,,0
K03514,,0
K03844,,0
K08488,,104
K08501,,1
K09173,,0
K10463,,0
K11300,,0
K11673,,1
K12324,,3
K14004,,2
K15177,,2
K00983,,48
K02579,,0
K03030,,100
K03031,,12
K03510,,0
K04598,,0
K05292,,97
K05655,,1
K06128,,10
K06210,,2
K07907,,84
K08967,,1
K09234,,0
K09254,,179
K09288,,70
K09441,,0
K10572,,4
K12017,,3
K12194,,70
K12461,,101
K13917,,0
K15159,,3
K15261,,178
K01952,,340
K03331,,0
K05289,,0
K06693,,2
K08512,,0
K09481,,0
K09530,,0
K10311,,1
K10703,,0
K11373,,82
K11721,,108
K11802,,0
K14365,,0
K14521,,40
K14960,,2
K15196,,113
K15381,,0
K00548,,572
K01011,,128
K01410,,0
K02728,,93
K03130,,0
K04677,,1
K05450,,1
K05955,,1
K06104,,79
K06695,,1
K06817,,0
K07422,,0
K07440,,0
K07870,,1
K08271,,85
K08678,,1
K08739,,0
K08887,,0
K10305,,2
K10491,,2
K10908,,74
K12077,,1
K12793,,1
K13165,,1
K14403,,1
K14957,,1
K15107,,0
K15732,,1
K00736,,78
K01134,,1
K01314,,0
K03963,,108
K04410,,58
K07555,,0
K07755,,0
K08112,,0
K08621,,0
K08654,,2
K08861,,107
K09430,,1
K09566,,6
K09674,,0
K10264,,177
K10442,,1
K10479,,98
K10520,,0
K13339,,125
K13628,,3
K13813,,1
K14439,,86
K14564,,153
K14662,,0
K15703,,1
K00323,,3
K02581,,0
K03193,,0
K03370,,0
K04458,,0
K04902,,0
K05097,,62
K05662,,2
K06092,,0
K06519,,182
K06706,,0
K06782,,0
K07178,,2
K07966,,0
K08220,,192
K10453,,0
K10660,,0
K11452,,1
K11492,,0
K11834,,0
K13212,,5
K13866,,0
K14209,,180
K14535,,4
K14554,,3
K14613,,1
K14794,,4
K15181,,113
K15203,,1
K15720,,0
K00274,,123
K01366,,7
K01711,,180
K03936,,102
K04369,,4
K04734,,28
K04846,,0
K05698,,0
K05770,,121
K06054,,0
K06102,,1
K06185,,3
K06832,,0
K06834,,1
K07748,,0
K07899,,2
K08469,,0
K08727,,61
K10267,,0
K10428,,4
K10644,,1
K10902,,87
K11859,,0
K12168,,0
K12607,,60
K12662,,1
K13247,,0
K14840,,77
K15116,,107
K15322,,0
K00006,,90
K01052,,0
K02149,,89
K02369,,1
K03354,,1
K04166,,0
K04378,,0
K04402,,32
K04464,,4
K04674,,158
K04802,,1
K04851,,0
K06700,,66
K07859,,2
K07891,,3
K07910,,2
K08509,,31
K08674,,2
K09306,,0
K09504,,1
K10146,,2
K10457,,1
K10580,,306
K10637,,122
K10643,,1
K10777,,95
K11303,,0
K12173,,137
K12199,,137
K12605,,2
K15303,,0
K01069,,31
K01074,,1
K01511,,73
K04467,,1
K04487,,165
K05165,,0
K05170,,2
K07201,,0
K09329,,7
K10053,,0
K10523,,0
K10575,,88
K10598,,0
K11587,,0
K11866,,1
K12165,,2
K12381,,0
K12599,,0
K12833,,2
K12948,,1
K15622,,0
K00831,,12
K01836,,1
K02150,,4
K02375,,0
K03142,,1
K04403,,0
K04431,,0
K04806,,0
K04899,,0
K04964,,0
K05630,,1
K06675,,71
K06751,,720
K07050,,1
K08489,,0
K08670,,0
K09304,,0
K11431,,1
K12323,,0
K13524,,0
K13752,,0
K14383,,0
K14857,,156
K15589,,85
K15618,,84
K15623,,6
K00029,,114
K00255,,3
K00856,,0
K02153,,1
K02259,,147
K03521,,80
K04351,,0
K05199,,75
K06229,,201
K06990,,79
K07408,,97
K08074,,96
K08576,,112
K08738,,81
K08876,,3
K09114,,1
K10147,,0
K12626,,0
K13719,,0
K13864,,0
K15503,,2
K00485,,0
K01128,,0
K03026,,2
K03850,,1
K05099,,1
K05186,,0
K05310,,0
K06083,,0
K06775,,0
K08816,,3
K09517,,3
K10465,,0
K10803,,1
K11259,,0
K11591,,62
K12876,,2
K12880,,96
K13196,,3
K13304,,0
K13956,,0
K13988,,1
K14827,,2
K15124,,0
K15717,,0
K00700,,2
K00784,,163
K03211,,104
K03447,,0
K03660,,1
K03857,,0
K03907,,1
K04377,,0
K04638,,0
K05651,,0
K05676,,0
K06836,,82
K08003,,2
K08266,,3
K08639,,0
K08752,,4
K09305,,0
K09536,,54
K10313,,91
K11428,,9
K11863,,72
K12343,,0
K12557,,0
K12831,,1
K13179,,4
K13376,,110
K14324,,10
K14538,,5
K14701,,0
K00629,,0
K01942,,115
K02320,,2
K02325,,1
K02328,,1
K02833,,0
K03217,,9
K03426,,75
K04697,,1
K05207,glutamate receptor delta-2 subunit,0
K06797,,45
K08109,,0
K08656,,1
K08761,,0
K09578,,4
K10368,,5
K10771,,120
K12317,,1
K13129,,1
K13298,,0
K13344,,0
K14537,,69
K15683,,1
K00157,,0
K02265,,8
K02354,,0
K03013,,4
K03120,,1
K03134,,2
K03138,,5
K03994,,0
K04450,,110
K04453,,0
K04649,,106
K04730,,0
K05744,,0
K06640,,2
K08726,,0
K08767,,1
K10668,,1
K10865,,0
K11340,,6
K11666,,1
K12175,,78
K13403,,2
K13577,,53
K14169,,1
K14677,,0
K15113,,113
K15133,,2
K00639,,94
K01807,,0
K02138,,108
K03846,,0
K03938,,97
K03955,,2
K05201,,0
K06493,,7
K07837,,0
K07888,,2
K07945,,2
K08818,,79
K09396,,1
K09583,,1
K11064,,19
K11456,,4
K11730,,0
K12459,,7
K12736,,0
K13242,,89
K14003,,89
K14291,,3
K14322,,0
K00072,,0
K00456,,107
K01974,,4
K02130,,1
K03341,,0
K03961,,39
K03965,,6
K04663,,0
K04885,,0
K04983,,0
K05627,,0
K06573,,451
K06789,,7
K08114,,2
K08504,,76
K08529,,0
K08822,,2
K09454,,0
K10285,,16
K10290,,1
K10307,,96
K10630,,1
K10747,,4
K11310,,0
K11418,,0
K11458,,1
K12174,,0
K12304,,0
K12319,,97
K13236,,1
K13506,,84
K13987,,1
K14018,,4
K14766,,4
K00252,,181
K01783,,210
K04008,,0
K04972,,0
K05743,,1
K08658,,1
K09526,,1
K10328,,1
K10607,,1
K10768,,0
K10840,,0
K10888,,0
K11351,,46
K11454,,0
K11832,,2
K13116,,2
K13154,,4
K13279,,36
K13761,,0
K14574,,4
K14719,,0
K15201,,119
K00049,,309
K01053,,27
K01794,,183
K02606,,1
K05111,,2
K05462,,0
K05956,,5
K06629,,1
K06685,,0
K08493,,3
K09322,,0
K09433,,3
K09506,,0
K10269,,1
K10631,,4
K11146,,3
K11787,,0
K11969,,61
K13093,,0
K13675,,2
K13948,,0
K14693,,1
K14721,,0
K14998,,11
K15186,,0
K01136,,0
K01278,,35
K01384,,0
K02514,,0
K02735,,110
K02999,,3
K03014,,0
K03376,,1
K04424,,2
K04555,,2
K04859,,0
K06698,,86
K06843,,140
K07179,,3
K07853,,1
K07889,,2
K08015,,0
K08066,,1
K09851,,0
K10293,,6
K10383,,58
K10464,,0
K10649,,0
K11459,,104
K14459,,0
K14754,,0
K14786,,0
K14798,,5
K15044,,5
K15161,,0
K00044,,0
K00682,,0
K00726,,11
K00763,,211
K01091,,251
K02449,,1
K04854,,2
K05091,,0
K06481,,0
K07342,,1
K07575,,45
K07863,,0
K08597,,0
K08808,,1
K09491,,22
K10320,,0
K10450,,2
K10455,,1
K10503,,0
K10867,,1
K11155,,0
K11307,,78
K11407,,0
K12347,,1
K12657,,1
K12877,,10
K13169,,2
K14157,,0
K14303,,0
K14825,,1
K14847,,4
K14970,,0
K15106,,0
K15179,,81
K15538,,1
K00387,,0
K00826,,527
K01001,,0
K01920,,168
K03019,,0
K03129,,0
K04153,,0
K04886,,0
K05752,,94
K06634,,0
K06746,,0
K06818,,1
K08510,,0
K08517,,0
K09201,,4
K10306,,86
K10694,,0
K11793,,1
K12477,,1
K12735,,3
K13123,,1
K13251,,78
K14168,,0
K14550,,0
K15202,,1
K15308,,1
K15500,,85
K15523,,0
K00357,,0
K00761,,73
K00962,,190
K01057,,1
K01277,,1
K01793,,0
K01965,,27
K03021,,2
K04552,,103
K04702,,0
K05509,,41
K05866,,0
K06093,,85
K06109,,3
K08437,,0
K08795,,0
K08804,,1
K08828,,2
K09569,,2
K09577,,1
K10284,,0
K10303,,0
K10343,,3
K10425,,3
K10452,,1
K10767,,24
K11257,,0
K12388,,7
K12892,,5
K13949,,0
K14691,,0
K14810,,0
K15109,,0
K15258,,3
K15437,,89
K00355,,2
K00966,,0
K03245,,1
K04833,,0
K05754,,121
K06784,,0
K07508,,2
K07513,,0
K07808,,0
K08130,,0
K08525,,0
K09640,,0
K10296,,0
K11109,,0
K11142,,3
K11404,,0
K11457,,98
K11470,,0
K12352,,0
K12668,,56
K12844,,0
K13145,,188
K13163,,25
K15178,,0
K15182,,1
K15465,,1
K00227,,0
K00286,,0
K00685,,2
K00781,,0
K01045,,1
K01260,,89
K01372,,1
K01565,,68
K01596,,456
K01809,,214
K02324,,3
K02329,,0
K02835,,126
K03511,,0
K03966,,2
K04198,,5
K04288,,0
K04346,,0
K04506,,75
K04742,,0
K04841,,1
K06526,,2
K06678,,0
K06851,,0
K07858,,1
K08013,,1
K08582,,114
K09308,,1
K09492,,0
K10323,,0
K10472,,1
K11803,,0
K12003,,0
K12351,,22
K13120,,1
K13644,,2
K14616,,135
K14834,,3
K00473,,87
K00544,,0
K00587,,0
K00747,,114
K01619,,154
K01885,,265
K03122,,0
K04507,,6
K05239,,1
K05755,,19
K06928,,0
K07152,,114
K07189,,0
K07424,,1
K07956,,1
K08520,,0
K08838,,1
K09551,,90
K09905,,3
K10048,,3
K11150,,0
K11163,,74
K12850,,1
K13343,,1
K13706,,18
K14027,,1
K14301,,3
K14544,,86
K14651,,1
K14787,,1
K14850,,2
K15607,,0
K00022,,129
K00311,,0
K00741,,0
K00759,,1
K00780,,0
K00902,,0
K01599,,102
K03023,,0
K03213,,1
K03369,,0
K03880,,6
K04405,,64
K04569,,0
K04662,,2
K04971,,1
K05013,,0
K05110,,0
K05156,,0
K05607,,3
K06256,,109
K06694,,3
K07305,,2
K07522,,0
K07523,,0
K07943,,2
K07955,,0
K07962,,1
K08044,,1
K08215,,0
K08672,,1
K09045,,0
K09613,,6
K10445,,101
K11363,,0
K11438,,0
K11586,,1
K11662,,1
K12390,,0
K12398,,2
K12840,,4
K13187,,136
K13200,,2
K13872,,1
K14349,,0
K14356,,0
K14410,,1
K14638,,98
K14708,,0
K14807,,0
K15131,,0
K01020,,0
K01283,,0
K01334,,66
K01759,,176
K01950,,423
K02519,,512
K03989,,0
K04412,,124
K05037,,0
K05290,,70
K06762,,0
K06788,,0
K06791,,0
K06805,,0
K07252,,0
K07880,,1
K08051,,19
K09429,,0
K10367,,109
K10505,,0
K10656,,0
K11314,,0
K11393,,290
K11493,,0
K11600,,1
K11996,,0
K12869,,96
K13084,,0
K13141,,2
K13373,,1
K13596,,0
K14077,,0
K15289,,104
K15363,,2
K15449,,142
K00167,,6
K00231,,129
K00253,,105
K00857,,0
K01456,,176
K01488,,174
K02156,,0
K03909,,76
K04814,,0
K05108,,9
K06729,,3
K07253,,5
K07525,,0
K07819,,0
K07928,,0
K08175,,0
K08490,,0
K08549,,0
K08794,,79
K09302,,0
K09562,,0
K10083,,0
K10302,,45
K10376,,0
K10432,,1
K12261,,81
K12389,,0
K12884,,6
K13128,,122
K13132,,0
K13513,,1
K13728,,0
K14347,,0
K14563,,82
K14696,,6
K14771,,0
K14791,,3
K15273,,65
K15448,,2
K15704,,0
K00572,,0
K00597,,0
K00849,,55
K01132,,98
K01358,,117
K02091,,0
K03992,,6
K04425,,1
K04545,,1
K04743,,0
K04992,,0
K05286,,75
K05722,,0
K07119,,36
K07419,,0
K07834,,3
K08180,,1
K08843,,1
K09414,,69
K10066,,0
K10514,,0
K10632,,7
K10862,,1
K11274,,103
K11317,,16
K11876,,0
K12032,,88
K12894,,1
K13402,,3
K14994,,0
K15294,,101
K15791,,0
K15838,,0
K00140,,229
K00760,,191
K00825,,0
K01784,,233
K01824,,1
K02542,,3
K03104,,4
K03158,,0
K04928,,0
K05102,,0
K06072,,2
K06735,,0
K06798,,0
K07846,,0
K08042,,63
K08228,,0
K08451,,0
K08544,,2
K08832,,90
K09646,,0
K10033,,0
K10142,,0
K10509,,0
K10578,,4
K11166,,0
K11590,,2
K11713,,1
K11883,,0
K12301,,0
K13119,,2
K13130,,0
K13167,,0
K14306,,0
K14694,,1
K14716,,131
K14780,,0
K15434,,2
K00142,,0
K00613,,59
K00809,,9
K01165,,0
K01691,,0
K01816,,145
K02296,,4
K02540,,1
K02580,,1
K02727,,6
K03509,,0
K03996,,126
K04522,,1
K04947,,85
K05304,,90
K05761,,0
K06474,,0
K06530,,1
K07364,,0
K07843,,0
K08061,,1
K08528,,224
K08736,,1
K08852,,0
K09307,,0
K09538,,1
K09558,,0
K09614,,0
K10459,,0
K10521,,1
K10848,,1
K10858,,0
K10976,,0
K11098,,3
K11131,,21
K11268,,1
K11668,,1
K11987,,78
K12192,,3
K12309,,1
K12734,,1
K12839,,2
K12881,,3
K12946,,284
K13856,,104
K14555,,2
K14777,,1
K14805,,14
K14820,,4
K00078,,0
K00318,,1
K00797,,3
K00871,,161
K01719,,294
K02125,,29
K02134,,1
K02327,,0
K03454,,145
K04423,,0
K04682,,123
K05100,,0
K05209,,1
K05542,,113
K06677,,83
K07188,,1
K08001,,1
K08293,,9
K09416,,0
K09645,,187
K10753,,0
K11225,,3
K11299,,1
K11344,,1
K12181,,4
K12586,,1
K12873,,1
K12896,,1
K13147,,1
K13716,,0
K14567,,1
K14592,,0
K14619,,2
K14835,,2
K15121,,1
K15171,,0
K15608,,0
K00525,,1190
K00591,,0
K00995,,78
K02112,,0
K02578,,0
K03695,,295
K04006,,104
K04349,,0
K04360,,1
K04542,,1
K04805,,0
K05285,,0
K05449,,0
K06173,,96
K06176,,9
K07933,,2
K08491,,169
K10611,,0
K11319,,79
K11664,,3
K11852,,76
K12627,,0
K13118,,3
K14001,,3
K14313,,1
K14565,,7
K14778,,2
K15210,,2
K15332,,3
K00743,,0
K03126,,2
K03494,,385
K04558,,0
K04724,,3
K05218,,0
K05262,,0
K05871,,1
K06768,,0
K07435,,2
K07436,,0
K07879,,0
K08150,,1
K08187,,0
K08754,,2
K09573,,1
K09650,,2
K09669,,0
K10262,,0
K10280,,1
K10481,,1
K10484,,57
K10881,,3
K11980,,102
K12417,,0
K12642,,0
K13117,,0
K14137,,0
K14295,,6
K14304,,1
K14557,,5
K14573,,83
K15173,,1
K00565,,3
K00621,,78
K01186,,0
K04466,,0
K04908,,0
K05505,,21
K06763,,1
K08858,,0
K10420,,1
K10765,,0
K10808,,1
K11461,,103
K11716,,0
K12646,,0
K12817,,166
K12868,,1
K13239,,0
K14845,,0
K14862,,0
K15191,,3
K15275,,189
K15593,,0
K15711,,92
K00237,,0
K00944,,82
K01332,,0
K01578,,0
K01787,,0
K02211,,1
K02332,,103
K03124,,214
K03352,,10
K03873,,4
K03979,,299
K04370,,0
K04433,,0
K04745,,0
K04978,,0
K05287,,1
K05309,,0
K05461,,0
K06625,,7
K06644,,0
K06767,,0
K07514,,0
K08450,,0
K08596,,1
K09036,,0
K09412,,0
K10283,,1
K10496,,0
K10864,,1
K11137,,0
K11324,,0
K11338,,104
K11375,,87
K11462,,1
K11467,,0
K11792,,0
K11884,,302
K11971,,0
K11979,,22
K12615,,87
K13049,,0
K13299,,0
K13336,,2
K13718,,0
K14703,,0
K14797,,3
K14944,,0
K15101,,0
K15170,,0
K15789,,0
K00566,,215
K00814,,75
K01267,,2
K01343,,2
K02131,,3
K02216,,0
K02437,,91
K03008,,6
K03241,,2
K03355,,1
K03842,,0
K04269,,0
K04455,,3
K04946,,0
K05038,,0
K05200,,0
K05350,,106
K07753,,0
K07764,,0
K08055,,383
K08366,,0
K08513,,61
K09229,,7
K10091,,0
K10136,,110
K10294,,111
K10330,,1
K10342,,1
K10349,,4
K10600,,0
K10657,,0
K10743,,1
K10750,,1
K11094,,117
K11347,,0
K13026,,0
K13102,,0
K13515,,0
K13859,,1
K15298,,0
K15560,,0
K15697,,2
K00599,,290
K00731,,0
K01431,,0
K01480,,0
