KO_ID,Gene,u_halleri
K07192,,83
K08054,,521
K00134,,567
K02649,,515
K05648,,2
K11251,,675
K03068,,116
K04459,,19
K06521,,58
K01681,,890
K08618,,0
K06485,,73
K00933,,265
K10594,,331
K06808,,0
K11292,,427
K09864,,69
K08826,,405
K14007,,375
K14443,,397
K10693,,506
K02872,,1092
K08844,,1
K12384,,142
K04388,,25
K03006,,6
K12854,,266
K05695,,104
K08133,,235
K06487,,93
K04520,,189
K05700,,214
K04515,,2
K06278,,1
K13178,,151
K15839,,73
K01090,,189
K04710,,218
K06257,,63
K12641,,6
K02374,,83
K02868,,146
K05767,,183
K12473,,0
K11653,,6
K06535,,19
K02997,,1879
K10355,,464
K12898,,234
K04601,,1
K00688,,85
K02984,,544
K02085,,147
K04363,,7
K06724,,108
K07379,,0
K02894,,328
K09487,,221
K05012,,247
K12567,,109
K08020,,2
K04988,,0
K06508,,101
K01110,,97
K10593,,328
K11642,,230
K10705,,3
K05853,,207
K00901,,265
K01398,,1021
K01509,,0
K06816,,33
K05858,,76
K10362,,106
K12559,,22
K14802,,169
K12491,,2
K02877,,372
K08056,,571
K10369,,102
K06766,,0
K05703,,66
K05126,,0
K09609,,105
K12751,,130
K10590,,426
K10407,,5
K11649,,10
K06269,,103
K06704,,88
K02995,,1707
K10247,,0
K00558,,186
K15410,,148
K15009,,0
K05727,,108
K15046,,412
K02962,,199
K06070,,80
K12604,,830
K12829,,9
K02938,,458
K06084,,111
K13863,,0
K01870,,532
K06254,,284
K02958,,209
K06777,,0
K10418,,4
K06052,,0
K09575,,5
K02126,,197
K02633,,83
K07190,,310
K04648,,194
K08111,,0
K13158,,18
K06480,,1
K01062,,162
K10956,,20
K06783,,37
K05863,,682
K06528,,21
K08463,,0
K05084,,102
K09377,,283
K11593,,402
K04429,,229
K06672,,25
K14755,,0
K04446,,417
K08765,,126
K02960,,93
K14951,,99
K02951,,92
K05750,,426
K09189,,7
K02132,,85
K02974,,197
K15164,,220
K02932,,490
K08341,,252
K10581,,26
K12172,,196
K15603,,211
K04533,,8
K00280,,4
K01482,,11
K11647,,78
K03767,,18
K07187,,0
K00717,,81
K00939,,55
K10244,,1
K02896,,488
K08269,,130
K11267,,211
K00888,,137
K08461,,13
K02903,,632
K06822,,137
K12315,,124
K02901,,968
K11860,,2
K01810,,247
K04456,,9
K07747,,6
K13291,,116
K12385,,70
K15731,,1
K05628,,9
K07868,,2
K05691,,10
K12741,,190
K11594,,199
K14163,,30
K03164,,103
K07909,,0
K11824,,144
K06824,,0
K04512,,203
K07151,,120
K02991,,758
K08800,,4
K11584,,7
K05642,,1
K10779,,341
K10799,,2
K11453,,4
K09680,,189
K08548,,104
K09489,,13
K04448,,2
K11420,,303
K00327,,8
K03258,,5
K04511,,1
K06799,,0
K09107,,89
K05690,,92
K10610,,311
K11445,,187
K12886,,182
K00940,,307
K05732,,331
K12460,,99
K10394,,47
K11727,,26
K01672,,535
K05639,,1
K08823,,7
K03456,,210
K06829,,11
K10416,,187
K05087,,111
K06094,,31
K10354,,2
K08115,,0
K01379,,6
K03178,,131
K03254,,72
K08017,,0
K12888,,223
K02098,,3
K04374,,11
K04407,,108
K06564,,146
K02154,,131
K09276,,183
K13525,,12
K09186,,340
K06760,,0
K04630,,85
K11217,,48
K02912,,551
K07763,,63
K00276,,0
K10436,,213
K15309,,0
K01120,,15
K04678,,2
K01231,,192
K02976,,413
K10373,,12
K11290,,112
K06095,,191
K09542,,181
K15516,,318
K06272,,1
K09593,,94
K10224,,2
K02953,,68
K06803,,191
K13044,,109
K03125,,118
K12471,,7
K01876,,224
K04354,,288
K09498,,272
K04514,,307
K14966,,45
K15690,,174
K01897,,398
K11661,,20
K02353,,7
K08873,,99
K11849,,343
K01958,,430
K05626,,60
K01872,,212
K05857,,113
K07526,,133
K11826,,195
K05641,,493
K14438,,51
K09171,,195
K09239,,238
K02966,,614
K03113,,3
K05759,,68
K13090,,5
K08049,,108
K09095,,452
K13709,,190
K04382,,216
K06759,,2
K14676,,118
K07377,,0
K04575,,0
K10357,,1
K02955,,707
K06529,,43
K11583,,2
K04958,,2
K09490,,25
K06233,,193
K08874,,241
K09848,,1
K15292,,45
K05725,,9
K06636,,82
K03032,,233
K07528,,43
K06483,,0
K10951,,88
K11305,,88
K05083,,7
K00737,,0
K09203,,90
K03781,,103
K01106,,5
K02973,,996
K04679,,145
K08791,,84
K02964,,517
K15102,,320
K01648,,2
K14607,,17
K00615,,441
K09113,,92
K07864,,0
K08875,,87
K09207,,2
K01081,,401
K05638,,10
K09313,,22
K10370,,23
K15601,,114
K06855,,46
K12811,,7
K11262,,175
K14005,,311
K04436,,1
K10604,,0
K01109,,0
K05859,,2
K09667,,56
K11660,,136
K14326,,210
K01196,,82
K01641,,3
K04565,,15
K07378,,0
K00164,,107
K09029,,0
K11275,,16
K00820,,684
K06756,,0
K05843,,0
K07532,,119
K08732,,79
K04373,,320
K12314,,1
K00670,,167
K12387,,200
K13186,,19
K04503,,82
K09503,,3
K01803,,581
K05737,,0
K08342,,170
K08860,,188
K01527,,607
K04680,,2
K11798,,56
K13219,,10
K00507,,163
K02942,,147
K13207,,3
K14943,,187
K02983,,375
K11252,,340
K12331,,1
K12348,,4
K12830,,388
K09208,,0
K12823,,272
K08780,,0
K06670,,197
K09495,,255
K02880,,164
K02969,,438
K07520,,0
K11367,,342
K11978,,268
K14290,,298
K09533,,118
K11970,,59
K03869,,101
K01895,,443
K07249,,1
K08660,,0
K11825,,114
K13195,,187
K15199,,2
K04438,,0
K10386,,0
K13708,,225
K06730,,1
K10141,,123
K03028,,7
K03232,,486
K04494,,2
K10415,,32
K02350,,208
K06837,,0
K08523,,0
K05463,,1
K05766,,1
K07762,,2
K09378,,172
K13199,,32
K06491,,1
K14427,,98
K01251,,243
K06098,,43
K11650,,228
K01915,,231
K12796,,202
K01080,,102
K09380,,76
K08810,,3
K05763,,323
K05724,,0
K06537,,182
K04593,,2
K02920,,312
K05058,,89
K01363,,12
K08624,,1
K01411,,7
K06689,,721
K12196,,3
K00504,,136
K11320,,4
K12484,,111
K09291,,119
K15040,,1
K03853,,263
K03099,,187
K05633,,386
K06591,,0
K08283,,1
K11838,,196
K04077,,19
K04345,,117
K10341,,2
K11294,,258
K15420,,0
K06258,,0
K14436,,2
K05112,,53
K05625,,4
K06514,,2
K06709,,520
K12327,,20
K07203,,102
K11423,,85
K13201,,0
K02898,,201
K12392,,104
K01880,,224
K03671,,70
K13087,,109
K04513,,16
K10414,,0
K11886,,5
K03097,,4
K06642,,209
K02885,,332
K05652,,1
