Gene,Markers,Uh_1_DRG,Uh_2_Tg
Cluster-837.0,Runx1,0,303.09
Cluster-6476.0,P2rx3,51.13,28.2
Cluster-33132.1,Nefm1,22.15,12.09
Cluster-3242.0,KIT,19.39,51.53
Cluster-32206.0,Ntrk1,3.66,107.91
Cluster-25500.0,Nefm2,8.58,159.95
Cluster-19626.1,Nefm3,22.58,50.63
Cluster-1699.0,Tac1,86.33,49.85
Cluster-16523.0,Tlx3,21.45,32.81
Cluster-11527.0,Gpsm3,20.57,44.15
combined,Nefm,53.31,222.67
