exp,species,dev_stage,tissue,area,x,y,perimeter
CGRP-594 HuC-488 20x 2 DataTable,Bamboo shark,32,DRG,424.34,23.81,28.25,114.8
CGRP-594 HuC-488 20x 2 DataTable,Bamboo shark,32,DRG,243.18,20,18.1,79.01
CGRP-594 HuC-488 20x 2 DataTable,Bamboo shark,32,DRG,234.84,19.05,16.83,61.16
CGRP-594 HuC-488 20x 2 DataTable,Bamboo shark,32,DRG,167.07,15.56,14.29,58.24
CGRP-594 HuC-488 20x 2 DataTable,Bamboo shark,32,DRG,137.89,14.92,12.06,51.51
CGRP-594 HuC-488 20x 2 DataTable,Bamboo shark,32,DRG,172.11,15.56,13.97,52.34
CGRP-594 HuC-488 20x 2 DataTable,Bamboo shark,32,DRG,156.32,16.83,12.06,55.85
CGRP-594 HuC-488 20x 2 DataTable,Bamboo shark,32,DRG,257.03,16.83,20.32,72.16
CGRP-594 HuC-488 20x 2 DataTable,Bamboo shark,32,DRG,167.31,16.51,14.29,52.78
CGRP-594 HuC-488 20x 2 DataTable,Bamboo shark,32,DRG,237.68,15.87,20.63,65.21
CGRP-594 HuC-488 20x 2 DataTable,Bamboo shark,32,DRG,165.54,15.87,14.6,54.94
CGRP-594 HuC-488 20x 2 DataTable,Bamboo shark,32,DRG,226.34,21.59,15.24,71.65
CGRP-594 HuC-488 20x 2 DataTable,Bamboo shark,32,DRG,319.54,19.37,22.22,72.46
CGRP-594 HuC-488 20x 2 DataTable,Bamboo shark,32,DRG,116.23,11.11,13.02,50.43
CGRP-594 HuC-488 20x 2 DataTable,Bamboo shark,32,DRG,406.71,27.94,20.32,86.99
CGRP-594 HuC-488 20x 2 DataTable,Bamboo shark,32,DRG,272.43,20.63,16.51,69.48
CGRP-594 HuC-488 20x 2 DataTable,Bamboo shark,32,DRG,297.36,23.17,17.46,76.79
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,335.09,23.49,20.63,67.3
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,177.22,16.83,13.97,48.22
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,176.39,15.56,14.6,48.58
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,176.9,17.46,13.33,48.41
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,201.87,18.41,13.65,52.7
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,235.57,19.68,16.51,56.41
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,191.6,15.56,15.87,50.05
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,311.08,20,22.54,66.62
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,187.76,15.56,15.24,49.49
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,190.71,18.73,13.65,52.49
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,213.71,22.22,14.29,55.99
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,209.2,18.1,15.24,52.21
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,254.82,21.27,18.41,64.21
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,622.9,29.52,27.62,93.05
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,222.13,18.1,15.87,54.09
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,451.54,21.59,25.08,76.32
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,175.11,14.92,16.51,49.04
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,188.82,17.14,15.87,50.64
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,139.62,11.43,17.78,46.48
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,159.81,16.83,12.7,46.39
