exp,species,dev_stage,tissue,area,x,y,perimeter
ret-488 acetub-594 20x 1 - drg,Bamboo shark,32,DRG,64.9,9.52,10.16,31.47
ret-488 acetub-594 20x 1 - drg,Bamboo shark,32,DRG,77.95,13.33,8.89,35.08
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,217.99,17.46,16.19,53.57
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,573.94,28.57,28.25,90.45
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,221.05,14.92,19.68,55.3
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,189.98,17.14,14.92,50.93
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,144.62,15.87,12.38,45.7
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,149.26,13.97,14.92,47.17
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,201.27,19.37,15.24,53.49
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,198.5,16.51,16.51,51.34
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,315.47,22.54,18.41,64.5
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,244.61,17.46,20.95,59.18
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,179,16.83,14.6,50.65
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,164.05,16.83,12.38,47.27
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,188.33,16.51,14.6,49.56
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,282.45,17.14,23.49,62.66
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,211.39,18.73,16.51,53.66
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,300.95,22.86,17.78,64.88
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,142.51,16.19,15.24,47.57
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,183.91,16.83,14.6,49.57
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,188.68,14.92,17.46,50.83
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,165.24,21.59,11.43,52.1
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,390.97,26.98,21.9,80.63
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,196.66,16.83,16.51,52.78
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,165.3,13.97,16.83,48.23
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,132.12,12.7,14.92,42.54
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,234.59,17.78,20,58.19
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,131.22,13.97,14.6,46.2
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,192.11,18.41,14.92,53.07
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,235.06,16.19,21.27,61.57
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,119.61,13.02,16.51,45.77
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,230.45,16.83,22.54,59.63
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,222.05,18.41,20.95,61.46
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,184.2,19.05,17.78,61.12
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,237.4,16.19,19.68,56.41
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,143.88,12.7,13.97,45.54
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,199,20.63,13.65,53.81
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,173.11,14.92,15.87,49.89
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,306.24,19.05,26.67,71.57
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,152.7,14.92,15.24,46.67
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,224.51,21.59,14.92,57.26
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,148.24,17.46,12.7,45.88
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,147.48,16.83,12.7,46.46
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,290.13,25.4,19.05,70.07
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,168.1,19.05,13.97,50.43
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,180.61,20,17.78,57.86
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,184.38,15.87,14.6,49.8
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,151.75,20.32,12.7,53.07
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,201.56,20,17.46,57.87
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,164.05,14.29,15.87,47.3
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,136.96,16.83,12.38,46.02
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,247.22,19.05,18.41,58.86
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,248.66,20.32,16.19,57.15
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,173.77,16.19,13.33,47.83
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,142.91,15.24,13.02,43.75
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,211.89,17.78,17.78,54.18
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,120.71,16.19,13.65,45.17
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,210.05,20,16.19,55.65
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,280.42,21.57,18.4,68.57
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,480.32,29.19,22.21,87.26
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,360.54,24.11,19.67,72.17
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,283.04,18.4,19.67,64.4
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,419.92,25.38,24.75,84.07
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,374.63,21.57,20.94,72.73
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,455.15,22.21,29.19,91.88
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,191.24,19.04,13.32,61.83
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,187.42,15.86,15.86,54.47
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,423.35,27.28,20.3,81.48
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,221.44,17.77,15.86,61.37
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,259.48,20.3,22.21,68.14
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,369.2,22.84,25.38,80.19
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,424.55,22.84,22.84,78.64
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,322.29,22.84,18.4,67.85
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,280.42,21.57,18.4,68.57
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,480.32,29.19,22.21,87.26
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,360.54,24.11,19.67,72.17
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,283.04,18.4,19.67,64.4
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,419.92,25.38,24.75,84.07
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,374.63,21.57,20.94,72.73
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,455.15,22.21,29.19,91.88
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,191.24,19.04,13.32,61.83
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,187.42,15.86,15.86,54.47
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,423.35,27.28,20.3,81.48
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,221.44,17.77,15.86,61.37
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,259.48,20.3,22.21,68.14
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,369.2,22.84,25.38,80.19
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,424.55,22.84,22.84,78.64
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,322.29,22.84,18.4,67.85
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,280.42,21.57,18.4,68.57
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,480.32,29.19,22.21,87.26
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,360.54,24.11,19.67,72.17
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,283.04,18.4,19.67,64.4
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,419.92,25.38,24.75,84.07
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,374.63,21.57,20.94,72.73
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,455.15,22.21,29.19,91.88
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,191.24,19.04,13.32,61.83
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,187.42,15.86,15.86,54.47
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,423.35,27.28,20.3,81.48
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,221.44,17.77,15.86,61.37
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,259.48,20.3,22.21,68.14
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,369.2,22.84,25.38,80.19
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,424.55,22.84,22.84,78.64
Tg 10x 2-A,Bamboo shark,Pre-hatch,TG,322.29,22.84,18.4,67.85
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,613.35,25.4,29.52,96.43
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,491.91,21.9,32.38,87.18
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,315.75,23.81,18.73,75.41
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,165.08,12.38,19.68,54
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,325.07,23.17,23.49,74.97
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,382.76,28.89,20.95,81.89
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,281.03,18.1,22.54,65.18
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,368.71,20.32,22.86,74.55
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,178.03,13.33,19.05,55.14
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,225.6,13.97,27.94,70.49
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,161.85,12.06,18.41,50.1
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,146.59,14.92,13.33,49.7
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,127.79,9.52,16.83,45.01
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,511.56,23.49,27.94,86.13
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,195.62,15.24,20,58.3
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,613.35,25.4,29.52,96.43
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,491.91,21.9,32.38,87.18
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,315.75,23.81,18.73,75.41
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,165.08,12.38,19.68,54
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,325.07,23.17,23.49,74.97
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,382.76,28.89,20.95,81.89
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,281.03,18.1,22.54,65.18
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,368.71,20.32,22.86,74.55
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,178.03,13.33,19.05,55.14
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,225.6,13.97,27.94,70.49
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,161.85,12.06,18.41,50.1
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,146.59,14.92,13.33,49.7
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,127.79,9.52,16.83,45.01
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,511.56,23.49,27.94,86.13
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,195.62,15.24,20,58.3
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,613.35,25.4,29.52,96.43
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,491.91,21.9,32.38,87.18
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,315.75,23.81,18.73,75.41
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,165.08,12.38,19.68,54
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,325.07,23.17,23.49,74.97
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,382.76,28.89,20.95,81.89
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,281.03,18.1,22.54,65.18
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,368.71,20.32,22.86,74.55
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,178.03,13.33,19.05,55.14
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,225.6,13.97,27.94,70.49
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,161.85,12.06,18.41,50.1
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,146.59,14.92,13.33,49.7
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,127.79,9.52,16.83,45.01
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,511.56,23.49,27.94,86.13
Tg CGRP-633 Acetub-488 4-B,Bamboo shark,Pre-hatch,TG,195.62,15.24,20,58.3
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,175.46,13.97,16.83,51.64
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,189.87,12.7,18.1,52.99
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,231.9,16.83,19.37,60.16
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,164.07,14.6,12.7,48.63
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,250.94,15.24,20.63,61.54
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,237.79,14.6,20.95,59.64
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,359.28,20.63,23.49,72.4
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,374.7,20.63,23.81,74.23
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,161.85,13.02,16.19,47.84
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,254.37,15.87,20.63,59.46
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,222.47,16.19,16.83,55.17
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,232.25,18.73,16.19,58.45
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,315.75,16.83,21.59,66.32
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,217.53,15.24,17.46,56.49
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,234.62,15.56,18.73,59.55
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,190.98,16.19,15.56,54.08
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,253.06,21.27,15.87,61.61
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,243.23,16.83,17.14,56.58
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,241.27,16.51,17.78,59.34
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,246.16,16.83,19.37,61.05
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,224.89,16.19,15.87,57.28
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,245.55,13.33,21.9,61.69
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,201.51,11.75,19.37,55.04
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,203.68,17.14,16.51,54.62
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,200.05,15.87,16.19,53.41
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,305.97,21.27,21.27,67.42
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,109.15,10.79,13.33,38.84
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,215.67,18.73,15.87,56.72
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,256.54,11.75,25.4,65.71
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,175.46,13.97,16.83,51.64
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,189.87,12.7,18.1,52.99
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,231.9,16.83,19.37,60.16
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,164.07,14.6,12.7,48.63
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,250.94,15.24,20.63,61.54
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,237.79,14.6,20.95,59.64
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,359.28,20.63,23.49,72.4
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,374.7,20.63,23.81,74.23
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,161.85,13.02,16.19,47.84
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,254.37,15.87,20.63,59.46
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,222.47,16.19,16.83,55.17
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,232.25,18.73,16.19,58.45
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,315.75,16.83,21.59,66.32
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,217.53,15.24,17.46,56.49
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,234.62,15.56,18.73,59.55
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,190.98,16.19,15.56,54.08
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,253.06,21.27,15.87,61.61
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,243.23,16.83,17.14,56.58
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,241.27,16.51,17.78,59.34
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,246.16,16.83,19.37,61.05
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,224.89,16.19,15.87,57.28
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,245.55,13.33,21.9,61.69
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,201.51,11.75,19.37,55.04
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,203.68,17.14,16.51,54.62
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,200.05,15.87,16.19,53.41
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,305.97,21.27,21.27,67.42
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,109.15,10.79,13.33,38.84
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,215.67,18.73,15.87,56.72
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,256.54,11.75,25.4,65.71
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,175.46,13.97,16.83,51.64
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,189.87,12.7,18.1,52.99
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,231.9,16.83,19.37,60.16
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,164.07,14.6,12.7,48.63
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,250.94,15.24,20.63,61.54
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,237.79,14.6,20.95,59.64
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,359.28,20.63,23.49,72.4
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,374.7,20.63,23.81,74.23
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,161.85,13.02,16.19,47.84
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,254.37,15.87,20.63,59.46
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,222.47,16.19,16.83,55.17
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,232.25,18.73,16.19,58.45
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,315.75,16.83,21.59,66.32
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,217.53,15.24,17.46,56.49
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,234.62,15.56,18.73,59.55
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,190.98,16.19,15.56,54.08
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,253.06,21.27,15.87,61.61
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,243.23,16.83,17.14,56.58
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,241.27,16.51,17.78,59.34
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,246.16,16.83,19.37,61.05
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,224.89,16.19,15.87,57.28
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,245.55,13.33,21.9,61.69
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,201.51,11.75,19.37,55.04
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,203.68,17.14,16.51,54.62
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,200.05,15.87,16.19,53.41
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,305.97,21.27,21.27,67.42
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,109.15,10.79,13.33,38.84
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,215.67,18.73,15.87,56.72
Tg P2X3-488 AceTub-594 20x 1-C,Bamboo shark,Pre-hatch,TG,256.54,11.75,25.4,65.71
Tg P2X3-488 AceTub-594 20x 2b-E,Bamboo shark,Pre-hatch,TG,248.42,19.05,19.37,65.45
Tg P2X3-488 AceTub-594 20x 2b-E,Bamboo shark,Pre-hatch,TG,79.82,11.11,10.48,35.36
Tg P2X3-488 AceTub-594 20x 2b-E,Bamboo shark,Pre-hatch,TG,261.93,21.9,16.83,61.57
Tg P2X3-488 AceTub-594 20x 2b-E,Bamboo shark,Pre-hatch,TG,247.11,19.68,18.1,61.27
Tg P2X3-488 AceTub-594 20x 2b-E,Bamboo shark,Pre-hatch,TG,191.03,17.46,15.56,54.25
Tg P2X3-488 AceTub-594 20x 2b-E,Bamboo shark,Pre-hatch,TG,239.66,14.92,18.73,59.74
Tg P2X3-488 AceTub-594 20x 2b-E,Bamboo shark,Pre-hatch,TG,200.1,16.51,14.6,53.52
Tg P2X3-488 AceTub-594 20x 2b-E,Bamboo shark,Pre-hatch,TG,158.63,13.33,13.97,48.73
Tg P2X3-488 AceTub-594 20x 2b-E,Bamboo shark,Pre-hatch,TG,69.14,8.89,9.84,32.41
Tg P2X3-488 AceTub-594 20x 2b-E,Bamboo shark,Pre-hatch,TG,228.72,17.14,16.51,56.75
Tg P2X3-488 AceTub-594 20x 2b-E,Bamboo shark,Pre-hatch,TG,154.6,15.56,13.02,48.55
Tg P2X3-488 AceTub-594 20x 2b-E,Bamboo shark,Pre-hatch,TG,248.42,19.05,19.37,65.45
Tg P2X3-488 AceTub-594 20x 2b-E,Bamboo shark,Pre-hatch,TG,79.82,11.11,10.48,35.36
Tg P2X3-488 AceTub-594 20x 2b-E,Bamboo shark,Pre-hatch,TG,261.93,21.9,16.83,61.57
Tg P2X3-488 AceTub-594 20x 2b-E,Bamboo shark,Pre-hatch,TG,247.11,19.68,18.1,61.27
Tg P2X3-488 AceTub-594 20x 2b-E,Bamboo shark,Pre-hatch,TG,191.03,17.46,15.56,54.25
Tg P2X3-488 AceTub-594 20x 2b-E,Bamboo shark,Pre-hatch,TG,239.66,14.92,18.73,59.74
Tg P2X3-488 AceTub-594 20x 2b-E,Bamboo shark,Pre-hatch,TG,200.1,16.51,14.6,53.52
Tg P2X3-488 AceTub-594 20x 2b-E,Bamboo shark,Pre-hatch,TG,158.63,13.33,13.97,48.73
Tg P2X3-488 AceTub-594 20x 2b-E,Bamboo shark,Pre-hatch,TG,69.14,8.89,9.84,32.41
